type,out_file,src_image,src_ann,xmin,ymin,xmax,ymax,note
pos,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\baseline_work\prepared\pos\crop001007_obj02.jpg,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\pos\crop001007.png,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\annotations\crop001007.txt,372,181,558,750,pad=0.05
pos,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\baseline_work\prepared\pos\crop001007_obj03.jpg,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\pos\crop001007.png,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\annotations\crop001007.txt,539,196,738,765,pad=0.05
pos,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\baseline_work\prepared\pos\crop001007_obj04.jpg,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\pos\crop001007.png,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\annotations\crop001007.txt,713,255,935,767,pad=0.05
pos,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\baseline_work\prepared\pos\crop001007_obj05.jpg,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\pos\crop001007.png,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\annotations\crop001007.txt,879,268,1107,767,pad=0.05
pos,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\baseline_work\prepared\pos\crop001008_obj01.jpg,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\pos\crop001008.png,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\annotations\crop001008.txt,209,280,268,419,pad=0.05
pos,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\baseline_work\prepared\pos\crop001008_obj02.jpg,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\pos\crop001008.png,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\annotations\crop001008.txt,352,316,419,449,pad=0.05
pos,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\baseline_work\prepared\pos\crop001009_obj01.jpg,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\pos\crop001009.png,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\annotations\crop001009.txt,190,138,302,484,pad=0.05
pos,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\baseline_work\prepared\pos\crop001010_obj01.jpg,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\pos\crop001010.png,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\annotations\crop001010.txt,140,178,434,752,pad=0.05
pos,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\baseline_work\prepared\pos\crop001011_obj01.jpg,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\pos\crop001011.png,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\annotations\crop001011.txt,151,146,446,814,pad=0.05
pos,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\baseline_work\prepared\pos\crop001011_obj02.jpg,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\pos\crop001011.png,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\annotations\crop001011.txt,518,137,772,803,pad=0.05
pos,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\baseline_work\prepared\pos\crop001012_obj01.jpg,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\pos\crop001012.png,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\annotations\crop001012.txt,301,250,521,784,pad=0.05
pos,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\baseline_work\prepared\pos\crop001013_obj01.jpg,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\pos\crop001013.png,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\annotations\crop001013.txt,218,135,570,887,pad=0.05
pos,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\baseline_work\prepared\pos\crop001014_obj01.jpg,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\pos\crop001014.png,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\annotations\crop001014.txt,326,285,519,747,pad=0.05
pos,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\baseline_work\prepared\pos\crop001015_obj01.jpg,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\pos\crop001015.png,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\annotations\crop001015.txt,233,313,408,678,pad=0.05
pos,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\baseline_work\prepared\pos\crop001016_obj01.jpg,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\pos\crop001016.png,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\annotations\crop001016.txt,275,312,433,714,pad=0.05
pos,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\baseline_work\prepared\pos\crop001017_obj01.jpg,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\pos\crop001017.png,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\annotations\crop001017.txt,172,219,450,976,pad=0.05
pos,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\baseline_work\prepared\pos\crop001018_obj01.jpg,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\pos\crop001018.png,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\annotations\crop001018.txt,183,155,498,976,pad=0.05
pos,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\baseline_work\prepared\pos\crop001019_obj01.jpg,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\pos\crop001019.png,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\annotations\crop001019.txt,137,129,530,976,pad=0.05
pos,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\baseline_work\prepared\pos\crop001020_obj01.jpg,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\pos\crop001020.png,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\annotations\crop001020.txt,260,231,480,965,pad=0.05
pos,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\baseline_work\prepared\pos\crop001021_obj01.jpg,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\pos\crop001021.png,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\annotations\crop001021.txt,300,84,719,852,pad=0.05
pos,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\baseline_work\prepared\pos\crop001022_obj01.jpg,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\pos\crop001022.png,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\annotations\crop001022.txt,264,234,512,784,pad=0.05
pos,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\baseline_work\prepared\pos\crop001023_obj01.jpg,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\pos\crop001023.png,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\annotations\crop001023.txt,244,186,525,882,pad=0.05
pos,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\baseline_work\prepared\pos\crop001023_obj02.jpg,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\pos\crop001023.png,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\annotations\crop001023.txt,595,202,820,911,pad=0.05
pos,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\baseline_work\prepared\pos\crop001024_obj01.jpg,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\pos\crop001024.png,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\annotations\crop001024.txt,305,329,542,976,pad=0.05
pos,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\baseline_work\prepared\pos\crop001025_obj01.jpg,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\pos\crop001025.png,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\annotations\crop001025.txt,276,274,520,778,pad=0.05
pos,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\baseline_work\prepared\pos\crop001026_obj01.jpg,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\pos\crop001026.png,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\annotations\crop001026.txt,285,242,514,710,pad=0.05
pos,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\baseline_work\prepared\pos\crop001026_obj02.jpg,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\pos\crop001026.png,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\annotations\crop001026.txt,485,287,658,677,pad=0.05
pos,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\baseline_work\prepared\pos\crop001026_obj03.jpg,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\pos\crop001026.png,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\annotations\crop001026.txt,639,334,693,473,pad=0.05
pos,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\baseline_work\prepared\pos\crop001027_obj01.jpg,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\pos\crop001027.png,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\annotations\crop001027.txt,182,197,693,854,pad=0.05
pos,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\baseline_work\prepared\pos\crop001028_obj01.jpg,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\pos\crop001028.png,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\annotations\crop001028.txt,272,244,575,962,pad=0.05
pos,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\baseline_work\prepared\pos\crop001029_obj01.jpg,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\pos\crop001029.png,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\annotations\crop001029.txt,289,285,516,765,pad=0.05
pos,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\baseline_work\prepared\pos\crop001030_obj01.jpg,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\pos\crop001030.png,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\annotations\crop001030.txt,301,213,408,700,pad=0.05
pos,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\baseline_work\prepared\pos\crop001030_obj02.jpg,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\pos\crop001030.png,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\annotations\crop001030.txt,572,245,687,622,pad=0.05
pos,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\baseline_work\prepared\pos\crop001031_obj01.jpg,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\pos\crop001031.png,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\annotations\crop001031.txt,306,230,463,676,pad=0.05
pos,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\baseline_work\prepared\pos\crop001032_obj01.jpg,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\pos\crop001032.png,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\annotations\crop001032.txt,312,198,539,813,pad=0.05
pos,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\baseline_work\prepared\pos\crop001033_obj01.jpg,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\pos\crop001033.png,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\annotations\crop001033.txt,303,208,621,976,pad=0.05
pos,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\baseline_work\prepared\pos\crop001034_obj01.jpg,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\pos\crop001034.png,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\annotations\crop001034.txt,304,215,483,756,pad=0.05
pos,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\baseline_work\prepared\pos\crop001035_obj01.jpg,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\pos\crop001035.png,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\annotations\crop001035.txt,215,167,460,976,pad=0.05
pos,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\baseline_work\prepared\pos\crop001036_obj01.jpg,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\pos\crop001036.png,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\annotations\crop001036.txt,224,254,402,756,pad=0.05
pos,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\baseline_work\prepared\pos\crop001037_obj01.jpg,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\pos\crop001037.png,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\annotations\crop001037.txt,254,167,457,799,pad=0.05
pos,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\baseline_work\prepared\pos\crop001038_obj01.jpg,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\pos\crop001038.png,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\annotations\crop001038.txt,673,315,807,693,pad=0.05
pos,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\baseline_work\prepared\pos\crop001038_obj02.jpg,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\pos\crop001038.png,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\annotations\crop001038.txt,359,404,548,652,pad=0.05
pos,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\baseline_work\prepared\pos\crop001038_obj03.jpg,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\pos\crop001038.png,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\annotations\crop001038.txt,261,343,389,654,pad=0.05
pos,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\baseline_work\prepared\pos\crop001038_obj04.jpg,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\pos\crop001038.png,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\annotations\crop001038.txt,156,329,272,666,pad=0.05
pos,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\baseline_work\prepared\pos\crop001039_obj01.jpg,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\pos\crop001039.png,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\annotations\crop001039.txt,412,297,568,811,pad=0.05
pos,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\baseline_work\prepared\pos\crop001039_obj02.jpg,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\pos\crop001039.png,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\annotations\crop001039.txt,259,280,415,818,pad=0.05
pos,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\baseline_work\prepared\pos\crop001040_obj01.jpg,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\pos\crop001040.png,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\annotations\crop001040.txt,217,145,334,564,pad=0.05
pos,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\baseline_work\prepared\pos\crop001042_obj01.jpg,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\pos\crop001042.png,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\annotations\crop001042.txt,330,192,482,900,pad=0.05
pos,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\baseline_work\prepared\pos\crop001042_obj02.jpg,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\pos\crop001042.png,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\annotations\crop001042.txt,219,166,320,736,pad=0.05
pos,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\baseline_work\prepared\pos\crop001043_obj01.jpg,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\pos\crop001043.png,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\annotations\crop001043.txt,137,168,320,899,pad=0.05
pos,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\baseline_work\prepared\pos\crop001044_obj01.jpg,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\pos\crop001044.png,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\annotations\crop001044.txt,183,125,246,335,pad=0.05
pos,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\baseline_work\prepared\pos\crop001045_obj01.jpg,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\pos\crop001045.png,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\annotations\crop001045.txt,159,165,206,313,pad=0.05
pos,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\baseline_work\prepared\pos\crop001046_obj01.jpg,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\pos\crop001046.png,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\annotations\crop001046.txt,158,126,262,361,pad=0.05
